phone ,function ,wrong ,mns ,iremotecontroldisplay ,privileg ,user ,thread ,correct ,applic ,app ,pair ,crash ,except ,broadcast ,disabl ,remotecontroldisplay ,format ,properti ,interfac ,gatt ,close ,ui ,switch ,length ,DV
0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,10.64385619,5.321928095,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
21.60964047,0,0,0,0,0,0,0,0,0,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,4.736965594,0,0,0,0,3.736965594,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,3.736965594,4,0,5.321928095,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,3.514573173,0,3.736965594,0,3.736965594,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,B
4.321928095,0,0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,3.514573173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,3.514573173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,8.64385619,0,0,0,0,14.05829269,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10.64385619,5.321928095,0,C
0,0,0,0,0,0,0,0,0,0,0,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,4.736965594,0,0,0,0,0,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,4.736965594,0,0,0,0,0,3.736965594,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.60964047,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,7.029146346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,0,0,0,0,A
0,4.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,0,C
0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,B
0,4.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,3.514573173,0,0,0,7.473931188,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,7.029146346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,C
0,4.321928095,14.21089678,9.473931188,0,0,0,3.514573173,11.21089678,3.736965594,0,0,0,4,4,0,0,0,0,0,0,0,0,0,10.64385619,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
8.64385619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,4.736965594,14.21089678,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,7.029146346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,17.57286586,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,3.514573173,0,0,0,3.736965594,0,0,0,0,5.321928095,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,7.473931188,0,0,0,0,0,0,5.321928095,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
4.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,3.514573173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,4.736965594,0,0,0,3.514573173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,9.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,0,0,0,A
0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,0,10.64385619,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,0,C
0,0,0,0,0,0,0,3.514573173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
